Region,Provider,model_id,SUM of Tokens,SUM of cost $,,,Region,SUM of Tokens,SUM of cost $,% of Tokens Consumption,% of Cost
,Meta,eu.meta.llama3-2-3b-instruct-v1:0,3566705,$0.54,,,,,,,
,Meta Total,,3566705,$0.54,,,,,,,
,Mistral,mistral.mistral-large-2402-v1:0,1301145,$5.95,,,,,,,
,Mistral Total,,1301145,$5.95,,,,,,,
EU Total,,,4630888847885,"$5,547,841.49",,,,,,,
NULL,OpenAI,ada,3771412,$0.38,,,,,,,
,,dall-e-3,0,$0.68,,,,,,,
,,gpt-4.1-2025-04-14,4544462,$9.55,,,,,,,
,,gpt-4o-2024-05-13,114958516,$596.17,,,,,,,
,,gpt-4o-2024-08-06,58563566,$193.62,,,,,,,
,,gpt-4o-2024-11-20,144595,$0.44,,,,,,,
,,gpt-4o-mini-2024-07-18,22386764,$4.03,,,,,,,
,,o3-2025-04-16,60143,$0.14,,,,,,,
,,o3-mini-2025-01-31,1717751,$2.16,,,,,,,
,,text-embedding-3-large,14596951,$1.90,,,,,,,
,,text-embedding-ada-002,13306908,$1.33,,,,,,,
,OpenAI Total,,234051068,$810.38,,,,,,,
,Google,gemini-1.5-flash-002,14013703,$1.05,,,,,,,
,,gemini-1.5-pro-002,295838,$0.46,,,,,,,
,,gemini-2.5-flash,138342,$0.05,,,,,,,
,,gemini-2.5-flash-lite,24259829,$2.43,,,,,,,
,,gemini-2.5-pro,701087,$4.08,,,,,,,
,Google Total,,39408799,$8.07,,,,,,,
,Anthropic,anthropic.claude-3-5-sonnet-20240620-v1:0,500226,$2.91,,,,,,,
,,anthropic.claude-3-opus-20240229-v1:0,19466,$0.41,,,,,,,
,Anthropic Total,,519692,$3.32,,,,,,,
,Mistral,mistral.mistral-large-2407-v1:0,5897,$0.01,,,,,,,
,Mistral Total,,5897,$0.01,,,,,,,
,unknown Total,,0,$783.15,,,,,,,
,Stability AI,stability.stable-image-core-v1:0,0,$0.36,,,,,,,
,Stability AI Total,,0,$0.36,,,,,,,
NULL Total,,,273985456,"$1,605.29",,,,,,,
US,Anthropic,anthropic.claude-3-5-sonnet-20240620-v1:0,90911948,$321.57,,,,,,,
,,anthropic.claude-3-5-sonnet-20241022-v2:0,52149230,$194.27,,,,,,,
,,anthropic.claude-3-haiku-20240307-v1:0,397253,$0.11,,,,,,,
,,anthropic.claude-3-opus-20240229-v1:0,873392,$59.02,,,,,,,
,,anthropic.claude-3-sonnet-20240229-v1:0,963878,$4.37,,,,,,,
,,anthropic.claude-instant-v1,563589,$0.48,,,,,,,
,,anthropic.claude-v2,137825,$1.38,,,,,,,
,,anthropic.claude-v2:1,59849,$0.52,,,,,,,
,,claude-3-5-haiku-20241022,1615049,$1.62,,,,,,,
,,claude-haiku-4-5,30630,$0.03,,,,,,,
,,claude-haiku-4-5-20251001,1904046952,$907.93,,,,,,,
,,claude-haiku-4-5@20251001,29658394890,"$14,709.61",,,,,,,
,,claude-opus-4-5,10322,$0.06,,,,,,,
,,claude-opus-4-5-20251101,2658759096,"$1,159.45",,,,,,,
,,claude-opus-4-5@20251101,8724466646,"$5,077.79",,,,,,,
,,claude-opus-4-6,634896926123,"$723,821.65",,,,,,,
,,claude-opus-4-7,44156900246,"$51,471.34",,,,,,,
,,claude-opus-4-8,1041746442991,"$1,237,946.88",,,,,,,
,,claude-opus-5,33153799683,"$46,107.02",,,,,,,
,,claude-sonnet-4-20250514,16203435,$20.97,,,,,,,
,,claude-sonnet-4-5-20250929,11179633862,"$9,939.97",,,,,,,
,,claude-sonnet-4-5@20250929,268160,$1.48,,,,,,,
,,claude-sonnet-4-6,403934523373,"$324,730.69",,,,,,,
